schema_name,table_name,rls_enabled,force_rls
public,ai_prompt,true,false
public,alembic_version,false,false
public,audit_logs,true,false
public,background_jobs,false,false
public,canonical_workflow_git_state,true,false
public,canonical_workflows,true,false
public,command,true,false
public,credential_mappings,false,false
public,credentials,false,false
public,deployment_workflows,false,false
public,deployments,false,false
public,drift_approvals,false,false
public,drift_check_history,false,false
public,drift_check_workflow_flags,false,false
public,drift_incidents,false,false
public,drift_policies,false,false
public,drift_policy_templates,false,false
public,drift_reconciliation_artifacts,false,false
public,environment_types,false,false
public,environments,false,false
public,events,false,false
public,execution_retention_policies,false,false
public,execution_rollups_daily,false,false
public,executions,false,false
public,feature_access_log,false,false
public,feature_config_audit,false,false
public,features,true,false
public,health_checks,false,false
public,incident_payloads,false,false
public,logical_credentials,false,false
public,memory_long,false,false
public,memory_short,false,false
public,n8n_users,true,false
public,notification_channels,false,false
public,notification_rules,false,false
public,payment_history,false,false
public,pipelines,false,false
public,plan_feature_requirements,false,false
public,plan_features,true,false
public,plan_limits,false,false
public,plan_policy_overrides,false,false
public,plan_retention_defaults,false,false
public,plans,false,false
public,platform_admins,false,false
public,platform_impersonation_sessions,false,false
public,playbook,false,false
public,promotions,false,false
public,provider_plans,true,false
public,provider_users,false,false
public,providers,true,false
public,sessions,false,false
public,snapshots,false,false
public,subscription_items,false,false
public,subscription_plan_price_items,false,false
public,subscription_plans,false,false
public,subscriptions,false,false
public,support_attachments,false,false
public,support_config,false,false
public,support_requests,false,false
public,tags,false,false
public,tenant_api_keys,false,false
public,tenant_feature_overrides,false,false
public,tenant_notes,true,false
public,tenant_plans,false,false
public,tenant_provider_subscriptions,true,false
public,tenants,false,false
public,tool,true,false
public,training_examples,false,false
public,users,false,false
public,workflow_credential_dependencies,false,false
public,workflow_diff_state,true,false
public,workflow_env_map,true,false
public,workflow_link_suggestions,true,false
public,workflow_policy_matrix,false,false
public,workflow_snapshots,false,false
